title,company,location,link
"Development Internship - User Interface (C#, Web) - Summer 2020/2021",Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=85be7f14cf576f8e
"Trading Data Systems Engineer, Linux, Python, DevOps – Recession proof industry!",Westbury Partners,Sydney NSW,https://au.indeed.com/viewjob?jk=cac44fa36b4a3811
OSI PI Consultant,"
Infosys Limited",Perth WA,https://au.indeed.com/viewjob?jk=fff078752e546bc5
FX Trading KDB Software Engineer,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=8873746562550eec
Natural Perils Analyst,"
Insurance Australia Group",Sydney NSW,https://au.indeed.com/viewjob?jk=566249f9fb55b233
Trading Analyst,"
TAL",Sydney NSW,https://au.indeed.com/viewjob?jk=283cca1bdebd7aff
Cloud Engineer (Adelaide or Melbourne with remote options considered),Lifi Labs,Adelaide SA,https://au.indeed.com/viewjob?jk=06f7d74e98450c9f
Data Scientist,"
Macquarie Group Limited",Sydney NSW,https://au.indeed.com/viewjob?jk=ec4a48e3bc0e1c02
NEC SG - Senior Researcher,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=47e5bc120fe111d5
Data Analyst Reporter,"
Department of Premier & Cabinet",Melbourne VIC,https://au.indeed.com/viewjob?jk=102635e504271354
Engineer,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=87149fc6024c6b70
Melbourne,Elevio,Melbourne VIC,https://au.indeed.com/viewjob?jk=79d50dfc77833b92
SQL Developer,"
Capgemini Australia",Adelaide SA,https://au.indeed.com/viewjob?jk=00f30a657bed823e
Data Scientist,"
Cancer Institute (NSW)",Sydney NSW,https://au.indeed.com/viewjob?jk=3dee254a6ab17a35
Resync SG - Electronics / Hardware Engineer (Part Time),TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=99549d3420f4687b
AWS Developer,Mielin Enterprise,Sydney NSW,https://au.indeed.com/viewjob?jk=11203f6d44d95e24
Graduate Software Developer,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=46572a02a7bfe483
Data Scientist - Geoscience,"
AngloGold Ashanti",Perth WA,https://au.indeed.com/viewjob?jk=39e3d0f6a46abad5
Software Architect,"
BAE Systems",Richmond VIC,https://au.indeed.com/viewjob?jk=b49d0e7e8a65ee4c
Data Scientist - Machine Learning/ Computer Vision / NLP,"
Oracle",Melbourne VIC,https://au.indeed.com/viewjob?jk=2f0f8f9bdad6e4f5
Consultant,"
Deloitte",Melbourne VIC,https://au.indeed.com/viewjob?jk=a22babbf12c0e6b3
Data Analyst,"
Evolution Mining",Australia,https://au.indeed.com/viewjob?jk=a41e5459f83aae9e
Graduate Trader,VivCourt Trading,Sydney NSW,https://au.indeed.com/viewjob?jk=9b65812c7ca5e699
Backend Software Engineer,"
Atlassian",Sydney NSW,https://au.indeed.com/viewjob?jk=c1f0438481bda777
Product Data Analyst,"
Xero",Melbourne VIC,https://au.indeed.com/viewjob?jk=9fae7c6076acec22
Lazada SG - Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=b4d1414ccb138fce
Azendian - Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=3d8d3093db3cf97b
Associate Software Engineer,Vix Technology UK Limited,Perth WA,https://au.indeed.com/viewjob?jk=de4be863d32830aa
CNC Machine Operator (Python X),Ahrens Pty Ltd,Kingsford SA,https://au.indeed.com/viewjob?jk=4ee558ed4ae13666
Specialist Data Science Expires soon,"
BHP",Queensland,https://au.indeed.com/viewjob?jk=7eec8c038458385a
Python Developer,"
HAYS",Sydney Central Business District NSW,https://au.indeed.com/viewjob?jk=7a0f386f7ebb635a
Data Engineer,Arkose Labs,Brisbane QLD,https://au.indeed.com/viewjob?jk=429fd3555fd729e5
Node.JS Engineer,No Company Name,Sydney Central Business District NSW,https://au.indeed.com/viewjob?jk=60c909f783617627
Postdoc Research Fellow,"
Macquarie University",Macquarie University NSW,https://au.indeed.com/viewjob?jk=41f1c4b1cc10f3e7
QA Engineer,"
ARQ Group",Australia,https://au.indeed.com/viewjob?jk=16cc86ee6600b330
Junior Cryptocurrency Trader,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=8e66819e2a9886ed
Automation Specialists,"
AccessHQ",North Sydney NSW,https://au.indeed.com/viewjob?jk=db694ba95e2da686
Specialist Data Analyst Expires soon,"
BHP",Queensland,https://au.indeed.com/viewjob?jk=1e755d4f851bc419
Envision Digital SG - Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=1a32229afbc91f5a
"Analyst, Data Analytics (Advanced)","
Insurance Australia Group",Pyrmont NSW,https://au.indeed.com/viewjob?jk=c061755b1e142f45
Python Developer - Trading Infrastructure Team,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=0396b5fd01d67494
Technical Business Analyst,"
Michael Page",Parramatta NSW,https://au.indeed.com/viewjob?jk=0ff76b355f87084f
Data Engineer,"
City of Whittlesea",South Morang VIC,https://au.indeed.com/viewjob?jk=51f1f66a38d9e878
Senior Risk Analyst,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=2301f2b963b8890e
Splunk Engineer,"
Dialog Information Technology",Melbourne VIC,https://au.indeed.com/viewjob?jk=a4086ec7d38b86f1
Cloud Consulting Intern,"
AWS Australia Pty Ltd",Sydney NSW,https://au.indeed.com/viewjob?jk=3dee930a36023df0
Digital Delta - Expression of Interest,"
KPMG",Canberra ACT,https://au.indeed.com/viewjob?jk=318adb34e5854599
Applied Scientist - Intern,"
Amazon Support Services PtyLtd",Australia,https://au.indeed.com/viewjob?jk=b4b9286997ab6239
IAM(ForgeRock),"
Infosys Limited",Melbourne VIC,https://au.indeed.com/viewjob?jk=d1e277291cefd464
Software Development Engineer (Load Balancing),"
Amazon Support Services PtyLtd",Sydney NSW,https://au.indeed.com/viewjob?jk=fd07b1e7b78328c5
Software Engineer,"
Boeing RIV Site",Brisbane QLD,https://au.indeed.com/viewjob?jk=b35bb03499ccc0b8
Junior Quantitative Researcher,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=a4f2be3b8effe21a
Bioinformatician,"
Murdoch University",Murdoch WA,https://au.indeed.com/viewjob?jk=7a75420c00b22eee
Business Intelligence (BI) & Data Warehouse Developer,"
Harris Farm",Australia,https://au.indeed.com/viewjob?jk=29ea91e7ddfbd68b
Shopee SG - Data Engineer - Processing & Analysis,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=36baddf244964c71
Data Analyst,"
Bank of Queensland",Newstead QLD,https://au.indeed.com/viewjob?jk=6c29a9cfa3db6d15
DevSecOps Engineer,"
Flexigroup",Adelaide SA,https://au.indeed.com/viewjob?jk=28ca7d45c4b34e4a
Solution Architect - 22 months contract,"
Reserve Bank of Australia",Sydney NSW,https://au.indeed.com/viewjob?jk=52c40003bafe521d
Test Engineer,Permaconn,Rydalmere NSW,https://au.indeed.com/viewjob?jk=befd5b91cd36af26
Quality Assurance Engineer,Feedzai,Sydney NSW,https://au.indeed.com/viewjob?jk=fcfc018f625b2666
Data Engineer,"
Sedgman Limited",Brisbane QLD,https://au.indeed.com/viewjob?jk=f7e3593a665c9914
Junior Integration Engineer - 6 month fixed term,Invetech,Melbourne VIC,https://au.indeed.com/viewjob?jk=2b4797a00ee724ec
Technology Architect,"
Infosys Limited",Melbourne VIC,https://au.indeed.com/viewjob?jk=4260fb0005e32a99
Data Analyst - Product Forensics,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=69c2968edb844617
Lucence SG - Bioinformatician / Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=bcd94213b1d468b4
Junior Data Analyst (Contract),Veeva Systems,Sydney NSW,https://au.indeed.com/viewjob?jk=4834571a8f62137e
Risk Analyst,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=4871a8f5c96ecdfb
Software Development Engineer in Test (SDET),"
AccessHQ",Brisbane QLD,https://au.indeed.com/viewjob?jk=e7ab2fd6a2d10ed1
GIS Technician/ Scientist,Senversa,Melbourne VIC,https://au.indeed.com/viewjob?jk=ffd236eda0df3d96
Tech Lead – Ruby on Rails / Elixir / GatsbyJS / JAMstack,Digitalent,Melbourne VIC,https://au.indeed.com/viewjob?jk=fa1fc30bf3e0c992
"Development Internship - User Interface (C#, Web) - Summer 2020/2021",Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=85be7f14cf576f8e
"Trading Data Systems Engineer, Linux, Python, DevOps – Recession proof industry!",Westbury Partners,Sydney NSW,https://au.indeed.com/viewjob?jk=cac44fa36b4a3811
OSI PI Consultant,"
Infosys Limited",Perth WA,https://au.indeed.com/viewjob?jk=fff078752e546bc5
FX Trading KDB Software Engineer,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=8873746562550eec
Natural Perils Analyst,"
Insurance Australia Group",Sydney NSW,https://au.indeed.com/viewjob?jk=566249f9fb55b233
Trading Analyst,"
TAL",Sydney NSW,https://au.indeed.com/viewjob?jk=283cca1bdebd7aff
Cloud Engineer (Adelaide or Melbourne with remote options considered),Lifi Labs,Adelaide SA,https://au.indeed.com/viewjob?jk=06f7d74e98450c9f
Data Scientist,"
Macquarie Group Limited",Sydney NSW,https://au.indeed.com/viewjob?jk=ec4a48e3bc0e1c02
NEC SG - Senior Researcher,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=47e5bc120fe111d5
Quantitative Researcher,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=a0fd81cd28212e51
Software Development Engineer - AWS Redshift,"
AWS Australia Pty Ltd",Sydney NSW,https://au.indeed.com/viewjob?jk=4395564a68a2ab5c
Experienced Futures Trader,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=07c2a069eeee940c
Jewel Paymentech SG - Lead Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=2c6cad8a176687f0
Jewel Paymentech SG - Senior Software Developer,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=5455672abfa0fa3c
Senior Data Analyst,"
Singtel",Macquarie Park NSW,https://au.indeed.com/viewjob?jk=20af2f26f3388a59
Full Stack Web Developer,Neuromersiv,Eveleigh NSW,https://au.indeed.com/viewjob?jk=fdc76e0a974424ff
Full Stack Developer,S2M,Sydney NSW,https://au.indeed.com/viewjob?jk=53ce8c499f8f3797
Research Associate/Fellow - Fungal and Plant Genome Bioinformatics,"
Curtin University of Technology",Perth WA,https://au.indeed.com/viewjob?jk=8f431800b0ce06c4
Cartrack - Data Scientist/Engineer (Driver Behaviour),TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=2038c30c79f0f5a8
Software Engineer in Test,Transpire Technology Pty Ltd,Melbourne VIC,https://au.indeed.com/viewjob?jk=ec8f167abb7703a6
Exablaze Snr FPGA engineer,"
Cisco Systems",St Leonards NSW,https://au.indeed.com/viewjob?jk=9beb324356a472e9
Team Leader - Power Systems,"
GHD",Brisbane QLD,https://au.indeed.com/viewjob?jk=4dfb6c5d825ccc5d
Senior Options Trader,VivCourt Trading,Sydney NSW,https://au.indeed.com/viewjob?jk=313c36ae6a13bbf2
ForgeRock Identity Engineer,"
Capgemini Australia",Melbourne VIC,https://au.indeed.com/viewjob?jk=cfc51bf749276f09
Acoustics Engineer,"
Mott MacDonald",Adelaide SA,https://au.indeed.com/viewjob?jk=be40f9c95819e4dd
Principal Scientist,"
Amazon Support Services PtyLtd",Australia,https://au.indeed.com/viewjob?jk=02313e3f381434db
Power BI Developer,"
Michael Page",Sydney Western Suburbs NSW,https://au.indeed.com/viewjob?jk=2a32dc44567510ca
Shopee SG - TechOps Engineer: Ops Developer,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=5a450f5b202e1a7a
System Administrator,Safran,Sydney NSW,https://au.indeed.com/viewjob?jk=462ffb306a3c05d3
"Technical Solutions Manager, Publisher Customer Care","
Google",Sydney NSW,https://au.indeed.com/viewjob?jk=79971d67efe6e2cc
Shopee SG - System QA Engineer,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=621ffaf0e749bd78
Developer - Data Infrastructure Engineering,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=1435a8f487bdc095
"Senior Analyst, Engineer","
NAB - National Australia Bank",Melbourne VIC,https://au.indeed.com/viewjob?jk=ec3fc354de6b6922
Application Integration Lead(MQ),Adaps,Melbourne VIC,https://au.indeed.com/viewjob?jk=46ad9ed935a5327c
Senior Data Engineer,AESOP Corporate,Melbourne VIC,https://au.indeed.com/viewjob?jk=c250193ba8d8eb84
Senior Software Technical Lead,Casa Systems Inc,Lane Cove West NSW,https://au.indeed.com/viewjob?jk=859bb25cf16ec054
Insider Threat Analyst,Dtex Systems,Adelaide SA,https://au.indeed.com/viewjob?jk=5ec6cc2225b09b52
Manager Reporting and Analytics,"
Commonwealth Bank",Perth WA,https://au.indeed.com/viewjob?jk=94dffa35598f6aba
Technical Trainer - Training & Certification,"
AWS Australia Pty Ltd",Sydney NSW,https://au.indeed.com/viewjob?jk=6b2ff0cf17f48c35
Image Production Engineer - Expression of Interest,Industrial Light & Magic,Sydney NSW,https://au.indeed.com/viewjob?jk=64e0a954a81c574a
Escalation Engineer - AWS,"
AWS Australia Pty Ltd",Sydney NSW,https://au.indeed.com/viewjob?jk=156c93b71129b143
Infrastructure Engineer - IT Systems and Operations,Canva,Sydney NSW,https://au.indeed.com/viewjob?jk=5e741d8b80ebc811
Senior Sales Engineer,Splunk,Canberra ACT,https://au.indeed.com/viewjob?jk=6896ef2696d6c230
PHP Web Developer,Trellian,Melbourne VIC,https://au.indeed.com/viewjob?jk=3538c68384d9d7ca
Network Automation Engineer,"
Megaport",Brisbane QLD,https://au.indeed.com/viewjob?jk=0fb4707056b4af56
DevSecOps Engineer,"
HAYS",Sydney Central Business District NSW,https://au.indeed.com/viewjob?jk=f4aa2c3d429ab6f4
DynamoDB/NoSQL Solutions Architect,"
AWS Australia Pty Ltd",Sydney NSW,https://au.indeed.com/viewjob?jk=4ba80d57c7085bad
Postdoctoral Researcher - School of Earth and Planetary Sciences,"
Curtin University of Technology",Perth WA,https://au.indeed.com/viewjob?jk=67dbd8eb02fdaec6
Technology Manager / Team Lead,"
HAYS",Sydney Western Suburbs NSW,https://au.indeed.com/viewjob?jk=b10a9b98fcc94441
Senior Technical Officer,"
Australian Catholic University",Melbourne VIC,https://au.indeed.com/viewjob?jk=28c308a81516ce5f
Pipeline TD - Compositing,"
Animal Logic",Sydney NSW,https://au.indeed.com/viewjob?jk=6daca6525bdebe36
Senior Python Engineer - Contract,"
Charterhouse",Sydney NSW,https://au.indeed.com/viewjob?jk=081d90f8ceea8e75
FXTD,Method Studios,Melbourne VIC,https://au.indeed.com/viewjob?jk=9fbd73e2f0027658
Software Development Engineer - AWS Networking,"
Amazon Corporate Services Pty",Sydney NSW,https://au.indeed.com/viewjob?jk=4c62b02e3398c0b1
Senior DevOps/Cloud Engineer,Versent,Melbourne VIC,https://au.indeed.com/viewjob?jk=a2189052d3a99fd8
Associate Software Engineer,"
Reece Group",Burwood VIC,https://au.indeed.com/viewjob?jk=c680acd4655b694a
Automation Test Consultants,"
AccessHQ",South Brisbane QLD,https://au.indeed.com/viewjob?jk=054279288a6e828d
CSIRO Postdoctoral Fellowship in Ecological Remote Sensing,"
CSIRO",Darwin NT,https://au.indeed.com/viewjob?jk=247a4cc5898f95e4
CSIRO Postdoctoral Fellowship in Computer Vision for Feature Extraction in Biological Specimens,"
CSIRO",Canberra ACT,https://au.indeed.com/viewjob?jk=31d4482896a51735
Generalist Programmers,Tantalus Media,Fitzroy VIC,https://au.indeed.com/viewjob?jk=ab1b7cdb3fe372e4
Business Intelligence Engineer,"
AWS Australia Pty Ltd",Sydney NSW,https://au.indeed.com/viewjob?jk=323526d657954e62
Research Data Scientist - Lung Transplant,"
St Vincent's Health Australia",Sydney NSW,https://au.indeed.com/viewjob?jk=3d6c92d1f07376c2
Cloud Lead,"
Macquarie Group Limited",Sydney NSW,https://au.indeed.com/viewjob?jk=972c48408a9edbe4
Quantitative Developer,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=e8251a935e321908
Network Development Engineer,"
Amazon Corporate Services Pty",Sydney NSW,https://au.indeed.com/viewjob?jk=7a725a34a5380131
Site Reliability Engineer,"
Accenture",Melbourne VIC,https://au.indeed.com/viewjob?jk=fbd680135f575c9f
Research Data Scientist,"
St Vincent's Hospital Network",Sydney NSW,https://au.indeed.com/viewjob?jk=511daf7b094c1bb1
Application Developer,"
Jacobs",Perth WA,https://au.indeed.com/viewjob?jk=3462bbc860848931
Network Development Engineer - Core Networks - Automation,"
Amazon Corporate Services Pty",Sydney NSW,https://au.indeed.com/viewjob?jk=0ac4023c56265061
Java Developer,"
Macquarie Group Limited",Sydney NSW,https://au.indeed.com/viewjob?jk=da330c149f38e29a
Data Engineer,GMT People,Melbourne VIC,https://au.indeed.com/viewjob?jk=0f596290d4acc1a2
Data Engineer (M4),FinXL,Melbourne VIC,https://au.indeed.com/viewjob?jk=e47bcc9fdae8d26a
Senior Software Engineer - Solr Search Infrastructure,Canva,Sydney NSW,https://au.indeed.com/viewjob?jk=ba181de70d48ea29
Data Scientist,Adaps,Melbourne VIC,https://au.indeed.com/viewjob?jk=ab4b2b9661953970
BI Developer,AllSquares,Melbourne VIC,https://au.indeed.com/viewjob?jk=6ddf68a8679a1c8c
Solutions Architect - Sydney,Databricks,Sydney NSW,https://au.indeed.com/viewjob?jk=dcb652793e6e2881
DevOps Engineer,ELMO Talent Management Software,Sydney NSW,https://au.indeed.com/viewjob?jk=34f04e259229d8c1
Field Engineer,DATACLOUD,Western Australia,https://au.indeed.com/viewjob?jk=601769a5d871bce8
Data Visualisation Specialist,"
HAYS",Canberra ACT,https://au.indeed.com/viewjob?jk=acad47db97459753
Senior Manager Group Analytics,"
AMP Limited",Sydney NSW,https://au.indeed.com/viewjob?jk=a671ba4804318dde
Azure Support Engineer,"
AKQA",Melbourne VIC,https://au.indeed.com/viewjob?jk=13d9c48252a3efba
